No,Sub Portfolio Name,Floor Name,Lot No,Net Area (Lot Master),NLA,Rental Base,Rental Rate,Service Charge Rate,Start Date,End Date,RCD,RED,Fit Out Commenced On,Business Name,Brand Name
156,CITIMALL SUKABUMI,G,G-0200,0.00,Y,,0.00,0.00,,,,,,,
157,CITIMALL SUKABUMI,G,G-0210,0.00,Y,,0.00,0.00,,,,,,,
158,CITIMALL SUKABUMI,G,G-0220,0.00,Y,,0.00,0.00,,,,,,,
159,CITIMALL SUKABUMI,G,G-0230,7.84,Y,Full Rental,"1,600,000.00",0.00,20/Nov/2018,19/Nov/2021,20/Nov/2018,19/Nov/2021,20/Nov/2018,MC DONALDS,MC DONALDS
160,CITIMALL SUKABUMI,G,G-0240,1.00,Y,Full Rental,"16,000,000.00",0.00,01/Mar/2019,28/Feb/2021,01/Mar/2019,28/Feb/2021,01/Mar/2019,FUNWORLD,FUNWORLD
161,CITIMALL SUKABUMI,G,G-0250,38.84,Y,Full Rental,"240,000.00","102,000.00",12/Feb/2019,14/Mar/2022,15/Mar/2019,14/Mar/2022,12/Feb/2019,NAUGHTY,NAUGHTY
162,CITIMALL SUKABUMI,G,G-0260,7.02,Y,Full Rental,"60,000.00",0.00,12/Feb/2019,14/Mar/2022,15/Mar/2019,14/Mar/2022,12/Feb/2019,NAUGHTY,GUDANG NAUGHTY
163,CITIMALL SUKABUMI,G,G-0270,15.77,Y,,0.00,0.00,,,,,,,
164,CITIMALL SUKABUMI,G,G-0275,14.81,Y,Full Rental,"325,000.00","106,000.00",22/Aug/2020,21/Aug/2021,22/Aug/2020,21/Aug/2021,24/Aug/2020,JANJI JIWA,JANJI JIWA
165,CITIMALL SUKABUMI,G,G-0280,35.00,Y,Full Rental,"121,428.57",0.00,14/Sep/2020,30/Nov/2020,14/Sep/2020,30/Nov/2020,14/Sep/2020,THE BODY SHOP,THE BODY SHOP
166,CITIMALL SUKABUMI,G,G-0290,0.00,Y,,0.00,0.00,,,,,,,
167,CITIMALL SUKABUMI,G,G-BAM01,26.84,N,,0.00,0.00,,,,,,,
168,CITIMALL SUKABUMI,G,G-BAM02,0.00,N,,0.00,0.00,,,,,,,
169,CITIMALL SUKABUMI,G,G-BIN01,280.00,N,,0.00,0.00,,,,,,,
170,CITIMALL SUKABUMI,G,G-BOH11,40.00,N,,0.00,0.00,,,,,,,
171,CITIMALL SUKABUMI,G,G-BOH12,44.00,N,,0.00,0.00,,,,,,,
172,CITIMALL SUKABUMI,G,G-BOH13,29.00,N,,0.00,0.00,,,,,,,
173,CITIMALL SUKABUMI,G,G-COM,"1,812.42",N,,0.00,0.00,,,,,,,
174,CITIMALL SUKABUMI,G,G-CVT01,21.00,N,,0.00,0.00,,,,,,,
175,CITIMALL SUKABUMI,G,G-CVT02,11.00,N,,0.00,0.00,,,,,,,
176,CITIMALL SUKABUMI,G,G-CVT03,21.00,N,,0.00,0.00,,,,,,,
177,CITIMALL SUKABUMI,G,G-CVT04,21.00,N,,0.00,0.00,,,,,,,
178,CITIMALL SUKABUMI,G,G-CVT05,9.00,N,,0.00,0.00,,,,,,,
179,CITIMALL SUKABUMI,G,G-MEP01,96.00,N,,0.00,0.00,,,,,,,
180,CITIMALL SUKABUMI,G,G-MEP02,27.00,N,,0.00,0.00,,,,,,,
181,CITIMALL SUKABUMI,G,G-MEP03,46.00,N,,0.00,0.00,,,,,,,
182,CITIMALL SUKABUMI,G,G-MEP04,47.00,N,,0.00,0.00,,,,,,,
