No,Sub Portfolio Name,Floor Cd,Floor Name,Lot No,Net Area (Lot Master),GFA,NLA,Contract Amt,Rental Base,Base Rental Rate,Rental Rate,Service Charge Rate
222,CITIMALL SUKABUMI,30,3,3-0040,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0050,0,Y,Y,,,,0,"9,000,000.00"
222,CITIMALL SUKABUMI,30,3,3-0060,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0070,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0080,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0090,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100A,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100B,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100C,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100D,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100E,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100F,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100G,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100H,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100I,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100J,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100K,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100L,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100M,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100N,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100P,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0100Z,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0101,154,Y,Y,"3,714,979,062.88",Full Rental,"50,000.00",50000,"36,750.00"
222,CITIMALL SUKABUMI,30,3,3-0105,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0110,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0120,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0130,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0135,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0150,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0160,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0170,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0180,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0190,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0200,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0210,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0220,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0230,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0240,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0250,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0251,85,Y,Y,"3,714,979,062.88",Full Rental,"50,000.00",50000,"36,750.00"
222,CITIMALL SUKABUMI,30,3,3-0255,88,Y,Y,"100,799,990.81",Combine,"95,912.30",95912,0.00
222,CITIMALL SUKABUMI,30,3,3-0260,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0270,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0280,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0290,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0300,0,Y,Y,,,,0,0.00
222,CITIMALL SUKABUMI,30,3,3-0310,0,Y,Y,,,,0,0.00
